,empty_slots,free_bikes,id,latitude,longitude,name,timestamp,total_bikes,address
0,6,6,45dbb0009135e465f49f054517cbe74d,43.259125842121065,-79.87721174955368,Hess at king,2023-08-30T01:32:48.695000Z,12,"15 Hess Street North, Hamilton"
1,23,11,cd881edad122a75c57d94b381cdfc6c0,43.269288276229105,-79.87132698297499,Bayfront Park,2023-08-30T01:32:48.697000Z,34,"Harbour Front Drive, North End, Hamilton, Ontario"
2,25,0,024a3edf037cb411d16acc08a7fcb954,43.26785864558976,-79.8679232597351,Bay at Strachan,2023-08-30T01:32:48.698000Z,25,"325 Bay Street North, Hamilton"
3,9,5,b933317ff2861c45aacbea4cbf4b541f,43.263198441574474,-79.87180307507515,Bay at Mulberry,2023-08-30T01:32:48.698000Z,14,"177, Bay Street North, Hess Village, Hamilton, Ontario"
4,10,7,20dc109608315db09a8332d6e6940c75,43.2561324863605,-79.8744987564414,City Hall,2023-08-30T01:32:48.700000Z,17,"58 Bay Street South, Hamilton"
5,0,11,a386509756e2c2e15483eaaf344fb412,43.2538302267771,-79.8753935613187,Bay at Bold,2023-08-30T01:32:48.700000Z,11,"100 Bold Street, Hamilton"
6,3,7,3527ca2c4e22a011c0615126afce23d5,43.2496354495324,-79.8720555723035,James S at Charlton,2023-08-30T01:32:48.701000Z,10,"232 James Street South, Hamilton"
7,7,5,337f37f6d8b9db34372c0cfe1a7d2595,43.26456372689135,-79.8777937889099,Oxford at York,2023-08-30T01:32:48.702000Z,12,"40-48 Oxford Street, Hamilton"
8,4,7,8bd4d92cf10d53a1b69805e875ca2001,43.2618861338306,-79.877606006297,Queen at Peter,2023-08-30T01:32:48.703000Z,11,"80, Queen Street North, Hess Village, Hamilton, Ontario"
9,8,4,95c24984959b304fdb8bb3ab251810e9,43.257877862291,-79.8561337635964,West at Cannon,2023-08-30T01:32:48.704000Z,12,"144 West Avenue North, Hamilton"
10,33,2,2a91db522d9c3f209772a8f35b8ee4e1,43.26271404114188,-79.91580605506897,Forsyth at Sterling,2023-08-30T01:32:48.710000Z,35,"88 Forsyth Avenue North, Hamilton"
11,7,2,1846562b60f9d9469c055fed1d84898e,43.25112644429895,-79.82740849256516,Gage at Cannon - ERI11,2023-08-30T01:32:48.710000Z,9,"75-77 Gage Avenue North, Hamilton"
12,4,4,630c0983a0b38edfc8772e7b45c8dab1,43.2540651616154,-79.8819466027797,H.A.A.A. Park,2023-08-30T01:32:48.712000Z,8,"251 Duke Street, Hamilton"
13,5,10,f5019394e945492c7644ad38a0db33ce,43.255383107655966,-79.87889617681503,Hunter at Hess,2023-08-30T01:32:48.713000Z,15,"131-133 Hess Street South, Hamilton"
