,citybike_station,name,address,latitude,longitude,distance,category
0,Hess at king,Coop Wicked Chicken Hamilton,"274 King St W (Hess St), Hamilton ON L8P 1J6",43.259271,-79.877373,19.0,Fried Chicken Joint
1,Hess at king,Coop Hamilton,"274 King St W, Hamilton ON L8P 1J6",43.259153,-79.877446,22.0,Fried Chicken Joint
2,Hess at king,Ark + Anchor,"300 King St W, Hamilton ON L8P 1B1",43.25919,-79.878071,81.0,Coffee Shop
3,Hess at king,La Luna Restaurant Downtown,"306 King St W (at Queen St), Hamilton ON L8P 1B1",43.259414,-79.878417,111.0,Lebanese Restaurant
4,Hess at king,Hess Village,Hamilton ON,43.258433,-79.87756,77.0,Neighborhood
5,Hess at king,Gown & Gavel,"24 Hess St S, Hamilton ON L8P 3M8",43.258338,-79.877864,90.0,Bar
6,Hess at king,Scottish Rite,"4 Queen St S, Hamilton ON L8P 3R3",43.259057,-79.879423,176.0,Arts and Entertainment
7,Hess at king,The George Hamilton,"152 King St W (Bay And King), Hamilton ON L8P 1A5",43.25803,-79.873899,301.0,Restaurant
8,Hess at king,Subway,"114 York Blvd (Bay St), Hamilton ON L8R 1R6",43.260152,-79.872468,410.0,Deli
9,Hess at king,Hamilton Farmers' Market,"55 York Blvd (at James), Hamilton ON L8R 3K1",43.259041,-79.870193,594.0,Farmers Market
10,Bayfront Park,Bayfront Park,"325 Bay St N (at Strachan St W), Hamilton ON L8L 1M5",43.267592,-79.868115,102.0,Park
11,Bayfront Park,Hutch's Harbour Front,"325 Bay St N, Hamilton ON L8L 1M5",43.267592,-79.868115,320.0,Fish and Chips Shop
12,Bayfront Park,Pier 4 Park,"Leander Dr (Bay St. N.), Hamilton ON L8L 1N2",43.272334,-79.86683,551.0,Sports and Recreation
13,Bayfront Park,Harbour Diner,"488 James St N (btwn Ferrie St and Picton St), Hamilton ON L8L 1J1",43.269474,-79.863286,637.0,Diner
14,Bayfront Park,This Ain't Hollywood,"345 James St N (at Murray), Hamilton ON L8L 1H3",43.264914,-79.865467,661.0,Arts and Entertainment
15,Bayfront Park,Synonym,"328 James St N (Barton Street West), Hamilton ON L8L 1H2",43.264647,-79.865582,700.0,Coffee Shop
16,Bayfront Park,Fisher's Pier 4 Pub & Grub,"554 James St N, Hamilton ON L8L 1J5",43.271524,-79.862605,766.0,Restaurant
17,Bayfront Park,Saltlick Smokehouse,"282 James St N (Barton Street), Hamilton ON L8R 2L3",43.263456,-79.865886,765.0,BBQ Joint
18,Bayfront Park,Charred,"244 James St N (btwn Robert St & Colbourne St), Hamilton ON L8R 2L3",43.262818,-79.866365,824.0,BBQ Joint
19,Bayfront Park,The Green Smoothie Bar,"236 James St N, Hamilton ON L8R 2L3",43.262671,-79.866431,849.0,Bar
20,Bay at Strachan,Hutch's Harbour Front,"325 Bay St N, Hamilton ON L8L 1M5",43.267592,-79.868115,24.0,Fish and Chips Shop
21,Bay at Strachan,Bayfront Park,"325 Bay St N (at Strachan St W), Hamilton ON L8L 1M5",43.267592,-79.868115,232.0,Park
22,Bay at Strachan,This Ain't Hollywood,"345 James St N (at Murray), Hamilton ON L8L 1H3",43.264914,-79.865467,364.0,Arts and Entertainment
23,Bay at Strachan,Harbour Diner,"488 James St N (btwn Ferrie St and Picton St), Hamilton ON L8L 1J1",43.269474,-79.863286,401.0,Diner
24,Bay at Strachan,Synonym,"328 James St N (Barton Street West), Hamilton ON L8L 1H2",43.264647,-79.865582,407.0,Coffee Shop
