,citybike_station,name,address,phone,latitude,longitude,distance,category,price,rating,review_count
0,Hess at king,La Luna,"306 King Street W, Hamilton, ON L8P 1B1, Canada",+19055770233,43.25942165323912,-79.87848757635106,108.42454951711392,Middle Eastern,$$,4.0,63.0
1,Hess at king,Hambrgr,"49 King William Street, Hamilton, ON L8R 1A2, Canada",+12893891212,43.25721,-79.8669,858.6720961059851,"Burgers, Beer Bar",$$,4.5,202.0
2,Hess at king,Earth To Table : Bread Bar,"258 Locke Street S, Hamilton, ON L8P 4B9, Canada",+19055222999,43.25284,-79.88702,1052.1415211374524,"Pizza, Breakfast & Brunch, Salad",$$,4.0,293.0
3,Hess at king,The Ship,"23 Augusta Street, Hamilton, ON L8N 1P6, Canada",+19055260792,43.25215,-79.87,970.855527645918,"Seafood, Pubs, Burgers",$$,4.0,208.0
4,Hess at king,The Mule,"41 King William Street, Hamilton, ON L8R 1A2, Canada",+12893892555,43.25726,-79.86713,833.7234169860423,Mexican,$$,4.0,177.0
5,Hess at king,The Coop,"274-274 King Street W, Hamilton, ON L8P 1J6, Canada",+12897782667,43.2591337,-79.8774391,18.43131711926058,"Sandwiches, Chicken Shop, Poutineries",$$,4.0,43.0
6,Hess at king,Pho Nhung,"85 Queen St N, Hamilton, ON L8R 2V5, Canada",+19055258008,43.26239,-79.87797,321.9290467182559,Vietnamese,,4.5,17.0
7,Hess at king,Moodys,"107 George Street, Hamilton, ON L8P 1E3, Canada",+12893096449,43.25821,-79.87853,151.94419171172675,"Pizza, Gluten-Free, Italian",,4.0,13.0
8,Hess at king,The French,"37 King William Street, Hamilton, ON L8R 1A1, Canada",+19055283737,43.25741,-79.86748,814.1051540640244,"Bistros, French",$$$,4.0,98.0
9,Hess at king,Electric Diner,"96 George Street, Hamilton, ON L8P 3M8, Canada",+19055269512,43.25845,-79.878,106.43795439871784,"Diners, Burgers, Cocktail Bars",,3.5,17.0
